"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ID","factor",3168,0,289,NA,NA,11,"1",NA,0.996527777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"year","factor",3168,0,12,NA,NA,288,"2007",NA,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gender","factor",3168,0,3,NA,NA,1584,"Female",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agegroup","character",3168,0,10,NA,NA,352,"1",NA,0.888888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"region","factor",3168,0,17,NA,NA,198,"BB",NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"population","numeric",2992,0.0555555555555556,2989,299277.272727273,174729,174729,NA,322445.402001651,NA,3857,1894856,1890999,1.93426885413582,21.6077518072812,3.755774840764,20.9849075732721,NA,NA
"d_log_CVD_mort_100k","pseries, numeric",2715,0.142992424242424,2669,NA,-0.0217142432824655,-0.0217142432824655,NA,NA,NA,-Inf,Inf,Inf,NA,NA,NA,NA,NA,NA
"d_CVD_mort_100k","pseries, numeric",2720,0.141414141414141,2717,-33.6743605607656,-0.83619697969309,-0.83619697969309,NA,190.071159496442,NA,-1855.96163267601,1693.16569080871,3549.12732348472,-2.94624878296836,-31.3825014256603,29.7809164962013,158.666558570702,NA,NA
"CVD_mort_100k","numeric",2992,0.0555555555555556,2959,1464.66060052815,61.4740186964732,61.4740186964732,NA,3350.41551062802,NA,0,17966.5612291008,17966.5612291008,3.02801796174805,33.8260425615307,8.71959201903355,48.7195959166814,NA,NA
"CVD_deaths","numeric",2992,0.0555555555555556,1370,1221.23061497326,163.5,163.5,NA,2486.62906238686,NA,0,21046,21046,3.54693968139529,39.6229263305942,15.5526401600716,86.8983712061593,NA,NA
"d_log_CVD_costs_100k","pseries, numeric",2720,0.141414141414141,2721,0.0260308531152941,0.0243322953607183,0.0243322953607183,NA,0.122426849539983,NA,-1.08179822647468,0.844817641366236,1.92661586784092,0.0034293018612484,0.0365278285974274,9.8994483266626,52.7422115414211,NA,NA
"d_CVD_costs_100k","pseries, numeric",2720,0.141414141414141,2721,638855.42171541,145215.131306781,145215.131306781,NA,1738598.71451189,NA,-10030069.8632117,16077707.6409128,26107777.5041245,2.04277095545225,21.7589440485706,12.7265469631448,67.8044078793938,NA,NA
"CVD_costs_100k","numeric",2992,0.0555555555555556,2993,24993176.9007855,7704577.1667809,7704577.1667809,NA,29698282.9804647,NA,133638.094300943,116557235.162901,116423597.0686,1.05261227950624,11.7587505150772,-0.124469141559048,-0.695455276762499,NA,NA
"CVD_costs_sum","numeric",3168,0,2993,42362951.4284671,12670074.057,12670074.057,NA,73582002.3490926,NA,0,644363674.272,644363674.272,3.4496076303622,39.6517314973791,15.5721844297249,89.5259095159878,NA,NA
"d_lag_log_CVD_costs_100k","pseries, numeric",2448,0.227272727272727,2449,0.0277281380665905,0.0262398185533605,0.0262398185533605,NA,0.122130512430903,NA,-1.08179822647468,0.844817641366236,1.92661586784092,-0.043742319540915,-0.442046311480471,10.2370206635374,51.7471427690614,NA,NA
"d_lag_CVD_costs_100k","pseries, numeric",2448,0.227272727272727,2449,674592.058124628,153719.942232508,153719.942232508,NA,1760049.94339744,NA,-10030069.8632117,16077707.6409128,26107777.5041245,1.97036562765495,19.9119037836592,12.1884428964974,61.6113921645306,NA,NA
"d_log_cancer_mort_100k","pseries, numeric",2717,0.142361111111111,2696,NA,-0.0084834803929521,-0.0084834803929521,NA,NA,NA,-Inf,Inf,Inf,NA,NA,NA,NA,NA,NA
"d_cancer_mort_100k","pseries, numeric",2720,0.141414141414141,2719,-3.30018073854635,-0.569307986752505,-0.569307986752505,NA,54.0442035849688,NA,-453.808065268629,534.801215009128,988.609280277757,0.00575957360450148,0.0613491392510163,17.6371008599712,93.9668225782423,NA,NA
"cancer_deaths","numeric",2992,0.0555555555555556,1351,823.51570855615,260,260,NA,1378.28647818044,NA,0,10343,10343,3.07476259700466,34.3482277142239,11.8130438419479,66.0038590417365,NA,NA
"d_log_cancer_costs_100k","pseries, numeric",2720,0.141414141414141,2716,NA,0.0206207532984877,0.0206207532984877,NA,NA,NA,-Inf,Inf,Inf,NA,NA,NA,NA,NA,NA
"d_cancer_costs_100k","pseries, numeric",2720,0.141414141414141,2721,246281.783940007,102938.579537462,102938.579537462,NA,899179.782154928,NA,-10182282.4492211,9232821.16158712,19415103.6108082,0.734340265474082,7.82195806456703,17.2936982120392,92.137244352925,NA,NA
"cancer_costs_sum","numeric",3168,0,2989,23683879.3129126,9128360.775,9128360.775,NA,37959505.1370327,NA,0,305021959.404,305021959.404,3.22524242587026,37.0727515671501,13.3918486963111,76.9909603914785,NA,NA
"d_lag_log_cancer_costs_100k","pseries, numeric",2448,0.227272727272727,2445,NA,0.0199919999178757,0.0199919999178757,NA,NA,NA,-Inf,Inf,Inf,NA,NA,NA,NA,NA,NA
"d_lag_cancer_costs_100k","pseries, numeric",2448,0.227272727272727,2449,231552.017087569,97919.8481437477,97919.8481437477,NA,888467.116509816,NA,-10182282.4492211,8727949.36918304,18910231.8184041,0.339433369821536,3.43020833594912,15.8227454472279,79.982437719657,NA,NA
