"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ID","factor",2240,0,561,NA,NA,4,"1",NA,0.998214285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA
"year","factor",2240,0,5,NA,NA,560,"1",NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gender","factor",2240,0,3,NA,NA,1152,"Female",NA,0.499591836734694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agegroup","factor",2240,0,19,NA,NA,128,"<1",NA,0.943673469387755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"region","factor",2240,0,17,NA,NA,140,"BB",NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"population","numeric",2240,0,2191,145287.037946429,84343.5,84343.5,NA,164156.049710068,NA,2595,1248276,1245681,2.30832268499716,22.3154397217289,6.90165561581786,33.3753176712453,NA,NA
"d_log_CVD_mort_100k","pseries, numeric",1461,0.347767857142857,1397,-0.0909206557532906,-0.0880998304577449,-0.0880998304577449,NA,0.374758888326736,NA,-2.11718186966268,1.79175946922805,3.90894133889074,-0.174327636748072,-1.36154173010829,6.24678175316423,24.4110625892339,NA,NA
"log_CVD_mort_100k","numeric",2052,0.0839285714285714,1378,4.2960506972936,4.17053340243254,4.17053340243254,NA,2.76979732951691,NA,-2.30258509299405,9.79626975764696,12.098854850641,0.121908256550127,1.12806288208945,-1.0366636873353,-4.79864806487696,NA,NA
"d_CVD_mort_100k","pseries, numeric",1680,0.25,1179,-88.7127380952381,-3.1,-3.1,NA,263.068176086445,NA,-2762.9,1073.8,3836.7,-4.58083442723132,-38.3602013241693,28.4463064669841,119.176177400418,NA,NA
"CVD_mort_100k","numeric",2240,0,1378,1075.331875,42.55,42.55,NA,2658.95610929526,NA,0,17966.6,17966.6,3.56251989744753,34.4402446614815,13.6673617858236,66.0932052715363,NA,NA
"d_log_CVD_costs_100k","pseries, numeric",1679,0.250446428571429,1680,0.0753021328391944,0.0719957434059015,0.0719957434059015,NA,0.279365612667843,NA,-2.99333021854575,2.50016218103182,5.49349239957757,-0.631483913994727,-5.28651553573252,29.8204028503679,124.895894519066,NA,NA
"log_CVD_costs_100k","numeric",2239,0.000446428571428571,2240,15.6557248752583,15.6315140492448,15.6315140492448,NA,1.86502116972417,NA,11.747532535959,18.6409618328501,6.89342929689112,-0.0318285503205521,-0.307630190964774,-1.38436339926194,-6.69307181926605,NA,NA
"d_CVD_costs_100k","pseries, numeric",1679,0.250446428571429,1680,1776969.82485659,374284.431736042,374284.431736042,NA,3279933.34273503,NA,-5035099.49858673,22069540.9717044,27104640.4702912,2.36996695754647,19.8403583410151,6.73970606548068,28.2277077901179,NA,NA
"CVD_costs_100k","numeric",2239,0.000446428571428571,2240,23058216.9542489,6147241.78689258,6147241.78689258,NA,29850087.2245016,NA,126441.184701493,124642703.815353,124516262.630651,1.25244302016625,12.105147158319,0.362766730000817,1.75389191799657,NA,NA
"d_lag_log_CVD_costs_100k","pseries, numeric",1675,0.252232142857143,1676,0.0837158097702391,0.0761396153761922,0.0761396153761922,NA,0.244325269354802,NA,-2.34450981533741,2.43632251745982,4.78083233279723,0.198684070034379,1.66131983556197,19.9579818438346,83.4900792864965,NA,NA
"lag_log_CVD_costs_100k","numeric",2235,0.00223214285714286,2236,15.63522918679,15.603341027827,15.603341027827,NA,1.86554157575889,NA,11.7128205059361,18.6420394896861,6.92921898374999,-0.0309654835926892,-0.299021351531631,-1.38708236182651,-6.70023765382218,NA,NA
