"year","region","gender","agegroup","CVD_deaths","cancer_deaths","resp_deaths","overall_deaths","population","CVD_mort_100k","cancer_mort_100k","resp_mort_100k","overall_mort_100k","overall_avg_cost_case","overall_N","CVD_avg_cost_case","CVD_N","cancer_avg_cost_case","cancer_N","resp_avg_cost_case","resp_N","overall_costs_100k","CVD_costs_100k","cancer_costs_100k","resp_costs_100k","overall_hospcases_100k","CVD_hospcases_100k","cancer_hospcases_100k","resp_hospcases_100k","log_overall_costs_100k","log_CVD_costs_100k","log_cancer_costs_100k","log_resp_costs_100k","log_overall_mort_100k","log_CVD_mort_100k","log_cancer_mort_100k","log_resp_mort_100k","overall_costs_sum","CVD_costs_sum","cancer_costs_sum","resp_costs_sum","id"
"2007","SH","Male","<1",0,2,1,55,11871,0,16.8,8.4,463.3,2177.875,13041,2815.932,25,4186.038,33,2185.862,776,239252530.326005,593027.546120798,1163669.90144049,14288846.0281358,109855.951478393,210.59725381181,277.98837503159,6536.93875831859,19.2930301643167,13.292996129044,13.9670892772266,16.4749897928409,6.1383747924226,NA,2.82137888640921,2.12823170584927,28401667.875,70398.3,138139.254,1696228.912,"1"
"2007","SH","Male","1-14",4,5,0,36,202247,2,2.5,0,17.8,1999.80366032689,13460,3226.60153804348,184,3179.13964094488,635,1776.93070814934,2491,13309150.330042,293549.314946575,998162.480531232,2188578.51735749,6655.22850771581,90.9778637013157,313.972518751823,1231.6622743477,16.4039623513721,12.589800927804,13.8136713481856,14.5987628122176,2.87919845729804,0.693147180559945,0.916290731874155,NA,26917357.268,593694.683,2018753.672,4426334.394,"2"
"2007","SH","Male","15-19",4,3,1,32,83770,4.8,3.6,1.2,38.2,2139.961,5495,2539.065,135,3896.608,162,2243.869,458,14037347.1350125,409184.403724484,753551.982810075,1226801.96012892,6559.62755162946,161.155544944491,193.386653933389,546.735108033902,16.4572319882109,12.921921198268,13.5325532831363,14.0199213089785,3.64283551561253,1.56861591791385,1.28093384546206,0.182321556793955,11759085.695,342773.775,631250.496,1027692.002,"3"
"2007","SH","Male","20-24",1,3,0,39,74570,1.3,4,0,52.3,2221.5,4744,3027.003,148,3996.096,199,2194.275,372,14132755.7999195,600773.024004291,1066411.56497251,1094636.31487193,6361.80769746547,198.471235081132,266.863349872603,498.860131420142,16.4640057674859,13.305972478298,13.8798098926608,13.9059327335275,3.95699637107088,0.262364264467491,1.38629436111989,NA,10538796,447996.444,795223.104,816270.3,"4"
"2007","SH","Male","25-29",6,1,2,52,74392,8.1,1.3,2.7,69.9,2367.631,4378,3846.728,191,5686.347,164,2104.668,310,13933606.4603721,987639.86450156,1253576.8738574,877039.305301645,5885.04140230132,256.748037423379,220.453812237875,416.711474352081,16.4498142110538,13.8030734006664,14.0415115220693,13.6843070882538,4.24706564923976,2.09186406167839,0.262364264467491,0.993251773010283,10365488.518,734725.048,932560.908,652447.08,"5"
"2007","SH","Male","30-34",15,4,3,58,77025,19.5,5.2,3.9,75.3,2385.697,4572,2686.396,291,4554.831,207,2633.819,331,14160865.5423564,1014918.83933788,1224083.11197663,1131832.63745537,5935.73515092502,377.799415774099,268.743914313535,429.730606945797,16.4659927702344,13.8303192060175,14.0177026416909,13.939348680044,4.32148013480585,2.9704144655697,1.64865862558738,1.3609765531356,10907406.684,781741.236,942850.017,871794.089,"6"
"2007","SH","Male","35-39",18,27,8,118,114230,15.8,23.6,7,103.3,2620.253,7594,3430.014,606,5614.669,350,2500.252,457,17419418.0880679,1819652.00385188,1720331.04263328,1000275.90300271,6647.99089556159,530.50862295369,306.399369692725,400.070034141644,16.6730961240125,14.4141558340959,14.3580272969176,13.8157864229128,4.63763737612559,2.76000994003292,3.16124671203156,1.94591014905531,19898201.282,2078588.484,1965134.15,1142615.164,"7"
"2007","SH","Male","40-44",46,42,8,227,129566,35.5,32.4,6.2,175.2,2724.875,10531,3737.589,1152,4393.541,568,2703.326,574,22147522.2087585,3323173.15345075,1926069.56145902,1197620.61343254,8127.90392541253,889.12214624207,438.386613772132,443.017458283809,16.9132361840338,15.0164306535479,14.4709919877488,13.9958473242244,5.16592817850229,3.56953269648137,3.47815842279828,1.82454929205105,28695658.625,4305702.528,2495531.288,1551709.124,"8"
"2007","SH","Male","45-49",73,88,8,347,109257,66.8,80.6,7.3,317.6,2974.875,11263,3909.171,1882,5107.553,768,3029.19,491,30667158.2827645,6733719.41568961,3590251.1546171,1361315.32991021,10308.7216379729,1722.54409328464,702.929789395645,449.39912316831,17.2387028771764,15.7226382110233,15.0937327175208,14.1239619446656,5.76079272937298,4.2017030805426,4.38949864951258,1.98787434815435,33506017.125,7357059.822,3922600.704,1487332.29,"9"
"2007","SH","Male","50-54",136,139,20,474,91860,148,151.3,21.8,516,3222.013,12665,4070.979,2453,4580.27,1334,3564.245,581,44422811.5011975,10871011.8517309,6651513.36816895,2254328.70128456,13787.2849989114,2670.36795123013,1452.20988460701,632.48421510995,17.609263668016,16.2016103414009,15.7103549609017,14.6283627931558,6.24610676548156,4.99721227376411,5.01926462079431,3.08190996979504,40806794.645,9986111.487,6110080.18,2070826.345,"10"
"2007","SH","Male","55-59",198,279,41,708,88423,223.9,315.5,46.4,800.7,3407.178,16006,4215.447,3786,4282.954,2187,3484.9,744,61675458.9507255,18049243.2308336,10593194.5285729,2932229.84969974,18101.6251427796,4281.69141512955,2473.33838480938,841.410040374111,17.9373966617906,16.7086143155946,16.1757223272893,14.8912737324017,6.68548634507859,5.41119952360471,5.75415868198127,3.83729945923221,54535291.068,15959682.342,9366820.398,2592765.6,"11"
"2007","SH","Male","60-64",288,433,76,1042,80123,359.5,540.4,94.9,1300.5,3637.845,18819,4436.252,4859,4294.062,3028,3775.699,1025,85444385.575927,26903321.7278434,16228074.0062154,4830187.92980792,23487.6377569487,6064.42594510939,3779.18949614967,1279.28310223032,18.2633762611651,17.107760321255,16.6022532637008,15.3903959337347,7.17050408488871,5.8847141771611,6.29230960608604,4.55282370561588,68460605.055,21555748.468,13002419.736,3870091.475,"12"
"2007","SH","Male","65-69",627,683,151,1843,99155,632.3,688.8,152.3,1858.7,3732.417,29251,4524.706,8273,4301.523,4593,3522.159,1714,110107336.661792,37751896.2614089,19925263.6165599,6088427.74040643,29500.277343553,8343.50259694418,4632.14159649034,1728.60672684181,18.5169662358197,17.446546264488,16.8074990129952,15.6219004356493,7.52763259761431,6.44936396506457,6.53495095311352,5.02585225990112,109176929.667,37432892.738,19756895.139,6036980.526,"13"
"2007","SH","Male","70-74",741,710,176,2021,67883,1091.6,1045.9,259.3,2977.2,3870.706,25466,4725.651,7260,4321.063,3789,3751.85,1661,145207782.502247,50540232.8418013,24118715.5944787,9180240.78193362,37514.5470883726,10694.8720592785,5581.66256647467,2446.85709235007,18.7936762574189,17.7382802669933,16.9984986777619,16.0325639912215,7.99873854048576,6.99539978883418,6.95263303776022,5.55798569254462,98571398.996,34308226.26,16372507.707,6231822.85,"14"
"2007","SH","Male","75-79",910,622,221,2148,41725,2180.9,1490.7,529.7,5148,3781.469,20106,4568.689,6003,4096.909,2474,3794.015,1725,182217413.334931,65729994.1689635,24291798.360695,15685262.732175,48186.938286399,14387.0581186339,5929.298981426,4134.21210305572,19.0207111108629,18.0010659115278,17.0056493353186,16.5682321500038,8.54636356871602,7.68749291462318,7.30700108727638,6.27231080855048,76030215.714,27425840.067,10135752.866,6544675.875,"15"
"2007","SH","Male","80-84",1007,455,208,2108,24743,4069.8,1838.9,840.6,8519.6,3573.109,13746,4350.108,4021,3921.372,1483,3108.452,1234,198504451.012408,70693870.0561775,23503191.5127511,15502686.6911854,55555.1064947662,16251.0609061149,5993.61435557531,4987.26912662167,19.1063220810764,18.0738694235177,16.9726467789464,16.5565239017839,9.05012467036445,8.31134913718009,7.51692284574681,6.73411592257102,49115956.314,17491784.268,5815394.676,3835829.768,"16"
"2007","SH","Male","85-89",872,249,162,1617,11480,7595.8,2169,1411.1,14085.4,3289.405,7196,3851.545,2090,3367.725,628,3053.186,713,206189532.926829,70119591.0278746,18422746.5156794,18962731.8641115,62682.9268292683,18205.574912892,5470.38327526132,6210.80139372822,19.1443063665072,18.0657127855399,16.7290966827621,16.7579861300717,9.55289407891326,8.93535074193836,7.68202151082687,7.25212482106372,23670558.38,8049729.05,2114931.3,2176921.618,"17"
"2007","SH","Female","<1",2,2,2,40,11093,18,18,18,360.6,1987.197,11267,7213.943,20,4073.648,5,2574.588,498,201836731.262959,1300629.76651943,183613.449923375,11558143.1893987,101568.556747498,180.293879022807,45.0734697557018,4489.3175876679,19.1229696674719,14.0783591409148,12.1205880111487,16.2629007845527,5.88776931076922,2.89037175789616,2.89037175789616,2.89037175789616,22389748.599,144278.86,20368.24,1282144.824,"18"
