"ID","year","region","gender","agegroup","population","d_log_CVD_mort_100k","d_CVD_mort_100k","d_log_CVD_costs_100k","d_CVD_costs_100k","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","d_log_cancer_costs_100k","d_cancer_costs_100k","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"1","2007","SH","Male","<1",11871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","2008","SH","Male","<1",11771,NA,42.5,1.06235635630961,1122708.08381718,NA,NA,NA,-16.8,0.242981439886794,320061.540238217,NA,NA
"1","2009","SH","Male","<1",11482,-0.487568761601723,-16.4,-0.0812394850206495,-133873.933369441,1.06235635630961,1122708.08381718,NA,17.4,-0.425510125004509,-514207.360508174,0.242981439886794,320061.540238217
"1","2010","SH","Male","<1",11453,-1.09861228866811,-17.4,-0.524726592022336,-645847.045385446,-0.0812394850206495,-133873.933369441,-0.693147180559945,-8.7,0.782019624057089,1149741.61340731,-0.425510125004509,-514207.360508174
"1","2011","SH","Male","<1",11153,0.0339015516756818,0.300000000000001,-0.161587111784744,-139660.486384387,-0.524726592022336,-645847.045385446,NA,-8.7,NA,NA,0.782019624057089,1149741.61340731
"1","2012","SH","Male","<1",11144,0.687576135510489,8.9,1.49299803229371,2747754.77274616,-0.161587111784744,-139660.486384387,NA,0,NA,NA,NA,NA
"1","2013","SH","Male","<1",11331,NA,-17.9,-1.17543541841382,-2450097.28808763,1.49299803229371,2747754.77274616,NA,0,0.454641905003259,241614.363362129,NA,NA
"1","2014","SH","Male","<1",11438,NA,0,0.442689096748882,609242.197369127,-1.17543541841382,-2450097.28808763,NA,0,-0.941283885156176,-403351.114173363,0.454641905003259,241614.363362129
"1","2015","SH","Male","<1",11926,NA,8.4,1.46664407426712,5679779.1063851,0.442689096748882,609242.197369127,NA,0,0.0335197806021839,8795.27502714834,-0.941283885156176,-403351.114173363
"1","2016","SH","Male","<1",12574,-0.0487901641694322,-0.4,-1.58939750270863,-5876536.05484977,1.46664407426712,5679779.1063851,NA,0,NA,NA,0.0335197806021839,8795.27502714834
"1","2017","SH","Male","<1",12930,-0.0382212128201975,-0.3,0.462127117633857,884987.208366839,-1.58939750270863,-5876536.05484977,NA,0,NA,NA,NA,NA
"2","2007","SH","Male","1-14",202247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008","SH","Male","1-14",198276,-0.693147180559945,-1,-0.449160858268073,-106216.875316968,NA,NA,-1.6094379124341,-2,-0.255128879708709,-224769.587795853,NA,NA
"2","2009","SH","Male","1-14",195402,0.741937344729377,1.1,0.491094906745962,118788.330372747,-0.449160858268073,-106216.875316968,1.43508452528932,1.6,0.147616475832262,123022.277528999,-0.255128879708709,-224769.587795853
"2","2010","SH","Male","1-14",191489,0,0,-0.0786407451444422,-23151.3169267206,0.491094906745962,118788.330372747,-0.271933715483642,-0.5,0.0751830570087169,69993.4260518594,0.147616475832262,123022.277528999
"2","2011","SH","Male","1-14",187500,-0.271933715483642,-0.5,0.167367813162286,51553.9245243664,-0.0786407451444422,-23151.3169267206,0.988611393453781,2.7,NA,NA,0.0751830570087169,69993.4260518594
"2","2012","SH","Male","1-14",183673,0.318453731118535,0.6,0.172359957602975,62925.6617253228,0.167367813162286,51553.9245243664,-0.264692554227082,-1,NA,NA,NA,NA
"2","2013","SH","Male","1-14",181818,0,0,-0.280770943514312,-97295.0083712917,0.172359957602975,62925.6617253228,-0.164303051291276,-0.5,-0.456620995571329,-493321.097462021,NA,NA
"2","2014","SH","Male","1-14",179487,NA,-2.2,0.0783580525612368,24465.5030512172,-0.280770943514312,-97295.0083712917,0.164303051291276,0.5,0.369684921266586,381268.944526087,-0.456620995571329,-493321.097462021
"2","2015","SH","Male","1-14",178571,NA,0,0.0485382571268236,16145.124869933,0.0783580525612368,24465.5030512172,-1.09861228866811,-2.2,-0.0367540079462056,-44519.8419009461,0.369684921266586,381268.944526087
"2","2016","SH","Male","1-14",181818,NA,0,0.0814537941384366,28918.3417078193,0.0485382571268236,16145.124869933,-0.606135803570316,-0.5,NA,NA,-0.0367540079462056,-44519.8419009461
"2","2017","SH","Male","1-14",182796,NA,0.5,-0.0323228332436862,-11758.1499298134,0.0814537941384366,28918.3417078193,-0.182321556793955,-0.1,NA,NA,NA,NA
"3","2007","SH","Male","15-19",83770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008","SH","Male","15-19",83333,-0.287682072451781,-1.2,0.314949773974789,151476.174917831,NA,NA,-0.405465108108164,-1.2,0.195559203353326,162760.282438986,NA,NA
"3","2009","SH","Male","15-19",82324,0.308301359654517,1.3,0.0606490213539814,35055.8211924843,0.314949773974789,151476.174917831,-0.693147180559945,-1.2,0.0200902249046138,18595.0837621629,0.195559203353326,162760.282438986
