"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_100k_sq","d_CVD_costs_100k_sq","CVD_costs_sum","d_lag_log_CVD_costs_100k","lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","lag_CVD_costs_100k","lag_CVD_costs_100k_sq","d_lag_CVD_costs_100k_sq","d_log_cancer_mort_100k","log_cancer_mort_100k","d_cancer_mort_100k","cancer_mort_100k","d_log_cancer_costs_100k","log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_100k","cancer_costs_sum","cancer_deaths","d_lag_log_cancer_costs_100k","lag_log_cancer_costs_100k","d_lag_cancer_costs_100k","lag_cancer_costs_100k"
"1","1","Male","<1","SH",11771,NA,3.74950407593037,NA,42.5,5,NA,14.3553524853536,NA,1715735.62993798,2943748751838.69,NA,201959.241,NA,13.292996129044,NA,593027.546120798,351681670458.056,NA,NA,NA,NA,0,NA,14.2100707171134,NA,1483731.4416787,174650.028,0,NA,13.9670892772266,NA,1163669.90144049
"1","2","Male","<1","SH",11153,-1.55227949859415,2.19722457733622,-33.5,9,1,-0.76755318882773,13.5877992965259,-919381.465139274,796354.164798709,634179955792.249,-2309568796046.44,88817.38,0.456390279266623,13.7493864083106,342987.105062298,936014.651183096,876123427229.413,524441756771.358,NA,NA,0,0,NA,NA,NA,NA,NA,0,0.599490938939374,14.5665802161659,955595.793137355,2119265.69457784
"1","3","Male","<1","SH",11438,NA,NA,-9,0,0,0.76025171062877,14.3480510071546,906899.682027659,1703253.84682637,2901073666728.82,2266893710936.57,194818.175,0.155975502095144,13.9053619104058,157996.998274145,1094011.64945724,1196861489148.15,320738061918.741,NA,NA,0,0,NA,12.4607827706893,NA,258017.52054555,29512.044,0,-1.16451356032044,13.4020666558455,-1457897.05985893,661368.634718913
"1","4","Male","<1","SH",12930,NA,2.04122032885964,7.7,7.7,1,0.339373689192348,14.687424696347,688230.25990217,2391484.10672854,5719196232735.2,2818122566006.37,309218.895,0.319935668307373,14.2252975787131,412485.248904458,1506496.8983617,2269532904773.42,1072671415625.26,NA,NA,0,0,0.428212905353378,12.8889956760427,137913.655015162,395931.175560712,51193.901,0,NA,NA,NA,NA
"2","1","Male","1-14","SH",198276,NA,0,NA,1,2,NA,12.1406400695359,NA,187332.439629607,35093442937.5804,NA,371435.268,NA,12.589800927804,NA,293549.314946575,86171200305.6036,NA,NA,-0.693147180559945,NA,0.5,NA,13.5585424684769,NA,773392.892735379,1533452.492,1,NA,13.8136713481856,NA,998162.480531232
"2","2","Male","1-14","SH",187500,0.470003629245736,0.470003629245736,0.6,1.6,3,0.579821974763806,12.7204620442997,147190.937970393,334523.3776,111905890160.912,76812447223.3317,627231.333,-0.0367066966665526,12.5530942311374,-10579.8618709416,282969.453075634,80071711373.9232,-6099488931.68042,2.15176220325946,1.45861502269952,3.8,4.3,NA,NA,NA,NA,NA,8,-0.0323293468677299,13.7813420013179,-31753.8842149941,966408.596316237
"2","3","Male","1-14","SH",179487,NA,NA,-1.6,0,0,-0.0300529333501007,12.6904091109496,-9903.84359475167,324619.534005248,105377841857.785,-6528048303.12761,582649.863,0.0589568272509489,12.6120510583883,17184.5778783975,300154.030954031,90092442297.9534,10020730924.0302,-0.264692554227082,1.19392246847243,-1,3.3,NA,14.0255189725949,NA,1233688.44094558,2214310.372,6,-0.125507949989611,13.6558340513283,-113989.099896741,852419.496419496
"2","4","Male","1-14","SH",182796,NA,-0.693147180559945,0.5,0.5,1,0.0976692180215739,12.7880783289712,33305.3166479389,357924.850653187,128110198715.106,22732356857.3218,654272.31,0.208350103826497,12.8204011622148,69528.9696289696,369683.000583001,136665520920.051,46573078622.0974,-1.88706964903238,-0.693147180559945,-2.8,0.5,0.175625003832113,14.201143976427,236857.056220656,1470545.49716624,2688098.347,1,NA,NA,NA,NA
"3","1","Male","15-19","SH",83333,NA,1.28093384546206,NA,3.6,3,NA,13.2368709722427,NA,560660.578642315,314340284443.535,NA,467215.28,NA,12.921921198268,NA,409184.403724484,167431876251.361,NA,NA,0.8754687373539,NA,2.4,NA,13.7281124864897,NA,916312.265249061,763590.5,2,NA,13.5325532831363,NA,753551.982810075
"3","2","Male","15-19","SH",78292,-1.01856958099457,0.262364264467491,-2.3,1.3,1,0.118255475911734,13.3551264481545,70380.6311875529,631041.209829868,398213008503.543,83872724060.0079,494054.784,0.220169105415138,13.1420903036831,100776.990217915,509961.393942398,260060623311.674,92628747060.3126,NA,NA,-2.4,0,0.00401162417065848,13.7321241106603,3683.28346600547,919995.548715067,720282.915,0,0.015862386343942,13.5484156694803,12048.4385452016,765600.421355277
